标题,房屋类型,面积,方向,层数,建造时间,社区,区,地址,总价,每平方价格,每平方价格带单位,总价带单位,建筑年龄,价格差异
融创高品质电梯洋房，带车位，带装修，162万带车位,3室2厅2卫,134.0,南北,中层(共9层),2012.0,融创美盛芳园,郑东新区,郑东新区周边和风街67号,162.0,12090,12090元/m²,162.0万元,13.0,0.006000000000000227
（精装送车位 一次未住 崭新精装）边户大三房,3室2厅2卫,123.55,南北,高层(共33层),2018.0,融创美盛象湖壹号1期,郑东新区,"郑东新区周边凤栖街,近润泽路",128.0,10361,10361元/m²,128.0万元,7.0,0.010154999999997472
管南必看好房 4号地铁口 现房南北通透 随时看房 现房特惠！,3室2厅2卫,115.0,南北,,2023.0,富田城九鼎公馆,管城,安徐庄南三环金岱路（郑尉路）交会处,121.0,10522,10522元/m²,121.0万元,2.0,0.0030000000000001137
龙子湖 双湖花园 精致三居室 南北通透 价格可谈,3室2厅2卫,122.0,南,高层(共27层),2018.0,双湖花园,郑东新区,龙子湖薛岗街1号,220.0,18033,18033元/m²,220.0万元,7.0,0.002600000000001046
北龙湖临河观景，鲁能公馆，新精装修，有车位,3室2厅2卫,127.0,南北,中层(共17层),2020.0,鲁能公馆二号院,郑东新区,"杨金片区龙泽东路,近龙源东四街",210.0,16536,16536元/m²,210.0万元,5.0,0.0072000000000116415
商都阜园 渠道价10000 送车位 出门大公园 楼上看河景,3室2厅2卫,122.46,南,,2024.0,商都阜园(新房),管城,安徐庄中州大道与南三环交叉口东南角（西吴河公园旁）,150.0,12249,12249元/m²,150.0万元,1.0,0.0012540000000171858
必看好房！精装带全套家具家电 海马公园五期 次新房 带车位,3室2厅2卫,148.0,南,中层(共33层),2019.0,海马公园(D区),郑东新区,"新东站片普惠路,近商都路",360.0,24325,24325元/m²,360.0万元,6.0,0.009999999999990905
法拍房 北龙湖 正商善水上境 180平四房387万,4室2厅2卫,180.98,南北,中层(共25层),2018.0,正商善水上境,郑东新区,北龙湖平安大道87号,387.0,21384,21384元/m²,387.0万元,7.0,0.007632000000000971
东区龙子湖 改善天花板 超大落地窗 随时看房,3室2厅2卫,131.0,南,,2026.0,兰溪书院,金水,丰产路明理路与北三环交汇处向东800米,225.0,17176,17176元/m²,225.0万元,-1.0,0.005599999999986949
龙子湖86平两室，小区好位置，停车方便广电天韵，拎包住,2室2厅1卫,86.0,南北,中层(共27层),2018.0,广电天韵,郑东新区,龙子湖晨晖路1号,172.0,20000,20000元/m²,172.0万元,7.0,0.0
榜 电话优先 福塔二环 卧室全朝南 大户型无中介 地铁口,3室2厅2卫,116.86,南,,2024.0,国投·昆仑朗境,管城,安徐庄豫英路与果园路交会处向西200米路南,197.0,16858,16858元/m²,197.0万元,1.0,0.0025880000000029213
CBD 次新小区 近医院 双卫 带电梯 出行方便,3室2厅2卫,120.68,南北,中层(共34层),2019.0,中州府,郑东新区,"CBD中州大道,近福元路",196.0,16242,16242元/m²,196.0万元,6.0,0.008455999999995356
银河丹堤 临河大三居 带车位 看房方便,3室2厅2卫,122.91,南,低层(共8层),2010.0,银河丹堤,郑东新区,东风东路东风东路36号,296.0,24083,24083元/m²,296.0万元,15.0,0.004152999999973872
CBD 近医院 中间好楼层 有电梯 临地铁 满二 商品住宅,1室1厅1卫,84.82,东,中层(共25层),2006.0,海逸名门,郑东新区,CBD商务内环路22号,161.0,18982,18982元/m²,161.0万元,19.0,0.005323999999973239
洋房一楼带院南北院！东润城三期带装修，一梯两户，双气，正常税,3室2厅2卫,137.14,南北,低层(共6层),2021.0,东润城(三期裕园),郑东新区,郑东新区周边原圃路30号,235.0,17136,17136元/m²,235.0万元,4.0,0.0031039999999507017
瀚海晴宇 南北通透 配套齐全 小区新 有电梯 商品住宅,2室1厅2卫,88.0,南北,中层(共39层),2016.0,瀚海晴宇,郑东新区,金水东路王新街59号,105.0,11932,11932元/m²,105.0万元,9.0,0.001599999999996271
东区精装朝南三室，满五 ，好楼层,3室2厅1卫,94.1,南,高层(共11层),2016.0,雅居乐国际花园(西苑),郑东新区,郑东新区周边象湖南路71号,119.0,12647,12647元/m²,119.0万元,9.0,0.008269999999996003
北龙湖北 精装小高层 有房本 房，业主诚心出售,3室2厅2卫,137.0,南,低层(共16层),2022.0,康桥东麓园,郑东新区,"杨金片区杨金路,近东三环",178.0,12993,12993元/m²,178.0万元,3.0,0.004099999999993997
前排视线很哇噻! 新出广电天韵1梯1户大3房，自住精装修,3室2厅2卫,139.0,南北,高层(共27层),2018.0,广电天韵,郑东新区,龙子湖晨晖路1号,310.0,22303,22303元/m²,310.0万元,7.0,0.011700000000018917
广电天韵 130平 低楼层 高性价比 诚心出 看房方便,3室2厅2卫,130.84,南北,低层(共27层),2018.0,广电天韵,郑东新区,龙子湖晨晖路1号,258.0,19719,19719元/m²,258.0万元,7.0,0.0033960000000092805
有车位，一梯一户！停车方便！龙子湖，广电天韵,3室2厅2卫,139.0,南北,高层(共27层),2018.0,广电天韵,郑东新区,龙子湖晨晖路1号,288.0,20720,20720元/m²,288.0万元,7.0,0.007999999999981355
融创美盛芳园 临地铁 朝南 商品房 双卫生间,3室2厅2卫,132.0,南,低层(共7层),2012.0,融创美盛芳园,郑东新区,郑东新区周边和风街67号,160.0,12122,12122元/m²,160.0万元,13.0,0.010400000000004184
永威高品质小区，地铁口 业主诚心出售，出门就是公园,3室2厅2卫,120.4,南北,低层(共26层),2020.0,永威森林花语,郑东新区,郑东新区周边和风街86号,105.0,8721,8721元/m²,105.0万元,5.0,0.0008400000000108321
（包税）万科未来时光 ，边户270度环幕客厅，有车位,3室2厅2卫,130.99,南,低层(共16层),2021.0,万科未来时光,郑东新区,"杨金片区东三环,近杨金路",220.0,16796,16796元/m²,220.0万元,4.0,0.010804000000007363
金水东路 满五 环境好 医疗配套成熟 交通便利 临地铁,2室2厅1卫,88.03,南,中层(共6层),2007.0,中义阿卡迪亚,郑东新区,金水东路黄河东路10号,245.0,27832,27832元/m²,245.0万元,18.0,0.005096000000008871
龙居华府 南北通透 双卫 有电梯 商品房 高楼层视野好,4室2厅2卫,143.0,南北,高层(共16层),2021.0,龙居华府,郑东新区,"杨金片区龙沄路,近鸿宝路",198.0,13847,13847元/m²,198.0万元,4.0,0.012100000000003774
（80平南花园）实用300多平 带室内地下室 精装修 带南院,5室4厅2卫,136.15,南北,低层(共11层),2016.0,鸿园玫瑰园,郑东新区,鸿园片区慧科路79号,285.0,20933,20933元/m²,285.0万元,9.0,0.0027949999999918873
业主急售！一梯两户花园洋房 送露台 看房方便 价格可谈,3室2厅3卫,139.0,西,低层(共11层),2014.0,雅居乐国际花园(西苑),郑东新区,郑东新区周边象湖南路71号,148.0,10648,10648元/m²,148.0万元,11.0,0.0072000000000116415
急售永威东棠朝南2居，随时看房，价格可谈，满五年，不临路,2室2厅1卫,82.34,南,低层(共18层),2013.0,永威东棠,郑东新区,黄河南路万安街6号,205.0,24897,24897元/m²,205.0万元,12.0,0.0018980000000112796
急卖省审计厅家属院南熙福邸.带车位一梯一户随时看,3室2厅2卫,140.09,南北,低层(共17层),2016.0,南熙福邸,郑东新区,郑东新区周边大有路23号,112.0,7995,7995元/m²,112.0万元,9.0,0.001955000000009477
郑东新区周边 商品房 南向采光好 商圈成熟 中间楼层 小三居,3室2厅1卫,85.37,南,中层(共33层),2019.0,东润城(二期璟园),郑东新区,郑东新区周边原圃路29号,56.0,6560,6560元/m²,56.0万元,6.0,0.0027200000000036084
边户大四房 高楼层视野好 诚心出售,4室2厅2卫,142.41,南,高层(共14层),2018.0,鸿园玉兰苑(西苑),郑东新区,鸿园片区鸿苑路69号,222.0,15589,15589元/m²,222.0万元,7.0,0.002948999999972557
价格能谈20 诚心出售 含车位 中间楼层 采光好 次新小区,4室2厅2卫,145.0,南北,中层(共30层),2021.0,碧桂园天琴湾,郑东新区,龙子湖明理路,296.0,20414,20414元/m²,296.0万元,4.0,0.002999999999985903
金悦府 正南朝向 精装好房 楼龄新 高楼层采光充足,2室2厅1卫,86.56,南,高层(共34层),2017.0,金悦府,郑东新区,列里路永平路121号,140.0,16174,16174元/m²,140.0万元,8.0,0.002143999999987045
郑东新区，改善洋房，价格能谈首付只需26万，好楼层,3室2厅2卫,144.61,南,高层(共8层),2019.0,郑地美景东望2期,郑东新区,郑东新区周边万三公路,170.0,11756,11756元/m²,170.0万元,6.0,0.0035160000000189484
省高法家属院.恒一雅居东边户好楼层.送车位地下室.无贷款,3室2厅2卫,141.0,南北,高层(共29层),2010.0,恒一雅居,郑东新区,郑东新区周边郑开大道,119.0,8440,8440元/m²,119.0万元,15.0,0.0040000000000048885
一口价130万买贾鲁河畔大平层 单价7字开头 送车位储藏室,5室2厅3卫,173.0,南北,高层(共27层),2021.0,星联御象湖,郑东新区,郑东新区周边和风街60号,130.0,7515,7515元/m²,130.0万元,4.0,0.009500000000002728
郑东新区周边 带电梯 停车方便 产权清晰 高楼层视野无遮挡,4室2厅2卫,135.87,南,高层(共27层),2022.0,星联御象湖,郑东新区,郑东新区周边和风街60号,140.0,10304,10304元/m²,140.0万元,3.0,0.0004480000000057771
北龙湖 鲁能公馆 精致四居室 业主诚心出售 价格可谈,4室2厅2卫,162.0,南,高层(共17层),2022.0,鲁能公馆一号院,郑东新区,杨金片区龙泽东路36号,240.0,14815,14815元/m²,240.0万元,3.0,0.002999999999985903
金水东路 满五 高楼层视野无遮挡 装修好 环境好 近医院,5室3厅3卫,206.84,南北,高层(共6层),2007.0,中义阿卡迪亚,郑东新区,金水东路黄河东路10号,360.0,17405,17405元/m²,360.0万元,18.0,0.005020000000001801
业主急售！新上好房 年前业主想卖掉 送车位储藏间 价可谈,3室2厅2卫,144.0,南,高层(共25层),2017.0,恒一雅居,郑东新区,郑东新区周边郑开大道,125.0,8681,8681元/m²,125.0万元,8.0,0.006399999999999295
老街 有标准层高大复式实用280平配有家庭影院顶楼一层露台,6室2厅2卫,208.0,南北,高层(共8层),2010.0,老街绿地郑东新苑三期,郑东新区,绿地老街天赋路29号,530.0,25481,25481元/m²,530.0万元,15.0,0.004800000000045657
（带双车位）实用400平上叠 带花园 100多平露台 双车位,5室3厅4卫,177.0,南北,共3层,2018.0,鸿园梧桐苑,郑东新区,鸿园片区鸿苑路66号,440.0,24859,24859元/m²,440.0万元,7.0,0.004300000000000637
"96中（店长力推）东站旁，建业天筑4居，大平层,送子母车位",4室2厅2卫,232.66,南北,高层(共37层),2017.0,建业天筑,郑东新区,康平路康宁街58号,700.0,30087,30087元/m²,700.0万元,8.0,0.004142000000001644
阳光和苑 精致四室 中间楼层 户型好 价格可谈,4室2厅2卫,165.0,南北,中层(共26层),2018.0,泰宏阳光和苑,郑东新区,龙子湖薛岗街51号,343.9,20843,20843元/m²,343.9万元,7.0,0.009500000000002728
阿卡迪亚 中间位置 带电梯复式 业主急售 车位另算,5室3厅3卫,225.92,南北,高层(共9层),2007.0,中义阿卡迪亚,郑东新区,金水东路黄河东路10号,409.0,18104,18104元/m²,409.0万元,18.0,0.005567999999982476
北大花园 高楼层采光充足 满五 产权清晰 电梯房 近地铁,3室2厅2卫,131.96,南,高层(共8层),2008.0,北大花园,郑东新区,东风东路马庄街3-3号,258.0,19552,19552元/m²,258.0万元,17.0,0.008192000000008193
星联湾 小区中间楼栋 中间楼层送车位 户型方正 商圈成熟,3室2厅2卫,137.56,南,中层(共26层),2019.0,星联湾,郑东新区,郑东新区周边象辰路88号,115.0,8360,8360元/m²,115.0万元,6.0,0.00016000000000815362
伟业象湖湾 楼龄新 有电梯 高楼层视野好 南北通透 近地铁,4室2厅2卫,166.56,南北,高层(共18层),2015.0,伟业象湖湾,郑东新区,郑东新区周边郑开大道,135.0,8106,8106元/m²,135.0万元,10.0,0.013536000000016202
（ 正临河观景！好楼层！户型难得！）运河上郡 有车位 精装！,4室2厅2卫,196.53,南北,中层(共14层),2009.0,运河上郡(南区),郑东新区,天赋路农业东路30号,440.0,22389,22389元/m²,440.0万元,16.0,0.01101699999998118
(河景 东边户 送车位)精装花了20多 中央空调 顾家家居,3室2厅2卫,134.74,南北,中层(共25层),2020.0,佳润滨河佳园,郑东新区,郑东新区周边泰来路80号,135.0,10020,10020元/m²,135.0万元,5.0,0.00947999999999638
豪华轻奢风复式楼 会所高端户型 低税费 随时看房,4室2厅2卫,139.92,南北,高层(共11层),2010.0,晖达新领地(东区),郑东新区,"新东站片正光路,近心怡路",230.0,16438,16438元/m²,230.0万元,15.0,0.0004959999999982756
临地铁 产权清晰 有电梯 南北通透 满五 精装修 居家自住,3室2厅1卫,112.39,南北,低层(共17层),2015.0,曙光苑,郑东新区,通泰路千宁路6号,209.0,18596,18596元/m²,209.0万元,10.0,0.00044399999998745443
急售！ 瀚海晴宇 大三房 中间楼层 带车位,3室2厅3卫,189.0,南北,中层(共30层),2017.0,瀚海晴宇,郑东新区,金水东路王新街59号,380.0,20106,20106元/m²,380.0万元,8.0,0.0033999999999991815
